rid,tract
W1M1_12000603,51510201600
W1M1_12000605,51510201802
W1M1_12000613,51510200406
W1M1_12000614,51013102500
W1M1_12000616,51510200407
W1M1_12000622,51510200405
W1M1_12000623,51510200703
W1M1_12000632,51013103100
W1M1_12000633,51510200407
W1M1_12000652,51013103300
W1M1_12000655,51510201600
W1M1_12000669,51510200500
W1M1_12000675,51510200103
W1M1_12000677,51510200407
W1M1_12000678,51510201801
W1M1_12000679,51510200301
W1M1_12000681,51510200107
W1M1_12000692,51013101701
W1M1_12000702,51013103402
W1M1_12000708,51510200407
W1M1_12000719,51013103402
W1M1_12000720,51510200407
W1M1_12000726,51510200405
W1M1_12000736,51510200500
W1M1_12000737,51013102801
W1M1_12000761,51013103502
W1M1_12000773,51013103800
W1M1_12000779,51510200500
W1M1_12000783,51510200405
W1M1_12000812,51510200500
W1M1_12000814,51510200105
W1M1_12000820,51013102500
W1M1_12000828,51013103800
W1M1_12000848,51510200405
W1M1_12000849,51510200405
W1M1_12000850,51510200405
W1M1_12000852,51510200500
W1M1_12000867,51510200500
W1M1_12000881,51510200105
W1M1_12000884,51510200103
W1M1_12000889,51013103100
W1M1_12000892,51510200107
W1M1_12000902,51510200303
W1M1_12000904,51510200600
W1M1_12000916,51510200303
W1M1_12000924,51510200106
W1M1_12000931,51510200303
W1M1_12000943,51013102801
W1M1_12000951,51510200201
W1M1_12000968,51510201801
W1M1_12000979,51510200107
W1M1_12000980,51510201600
W1M1_12000981,51510200107
W1M1_12000984,51510201600
W1M1_12000991,51510201802
W1M1_12000998,51510200406
W1M1_12001000,51510200407
W1M1_12001008,51510201801
W1M1_12001011,51510200500
W1M1_13000003,51059452101
W1M1_13000013,51059460502
W1M1_13000018,51059482302
W1M1_13000029,51059490101
W1M1_13000035,51059431900
W1M1_13000036,51059492100
W1M1_13000037,51059492100
W1M1_13000038,51059471304
W1M1_13000040,51059432401
W1M1_13000043,51059482601
W1M1_13000053,51059481105
W1M1_13000057,51059432401
W1M1_13000080,51059480802
W1M1_13000082,51059440600
W1M1_13000083,51059440201
W1M1_13000092,51059482501
W1M1_13000098,51600300200
W1M1_13000103,51059461100
W1M1_13000112,51059492500
W1M1_13000113,51059491801
W1M1_13000126,51059431600
W1M1_13000129,51059460800
W1M1_13000139,51059460400
W1M1_13000140,51059431001
W1M1_13000143,51059471301
W1M1_13000153,51059461802
W1M1_13000170,51059461201
W1M1_13000178,51059420700
W1M1_13000188,51059491502
W1M1_13000189,51059480503
W1M1_13000196,51059482601
W1M1_13000210,51059480502
W1M1_13000218,51059415200
W1M1_13000228,51059492100
W1M1_13000230,51059422201
W1M1_13000234,51059430700
W1M1_13000244,51059431600
W1M1_13000248,51059490101
W1M1_13000249,51059481106
W1M1_13000251,51059480300
W1M1_13000253,51059491202
W1M1_13000256,51059421001
W1M1_13000272,51059490103
W1M1_13000286,51059451502
W1M1_13000288,51059431900
W1M1_13000293,51059492202
W1M1_13000296,51059481400
W1M1_13000304,51059480503
W1M1_13000305,51059431801
W1M1_13000311,51059492500
W1M1_13000314,51059491705
W1M1_13000323,51059471202
W1M1_13000324,51059421103
W1M1_13000325,51059451300
W1M1_13000336,51059480401
W1M1_13000340,51059432202
W1M1_13000353,51059491501
W1M1_13000362,51059492300
W1M1_13000364,51059440201
W1M1_13000389,51059430400
W1M1_13000390,51059430802
W1M1_13000392,51059480902
W1M1_13000394,51059431600
W1M1_13000396,51059415300
W1M1_13000398,51059415200
W1M1_13000407,51059422301
W1M1_13000409,51059482501
W1M1_13000414,51059452802
W1M1_13000419,51059460200
W1M1_13000420,51059461000
W1M1_13000422,51059440800
W1M1_13000433,51059491705
W1M1_13000436,51059430400
W1M1_13000444,51059481400
W1M1_13000452,51059471100
W1M1_13000462,51059422401
W1M1_13000463,51059482001
W1M1_13000465,51059430802
W1M1_13000473,51059422202
W1M1_13000476,51059481701
W1M1_13000482,51059430801
W1M1_13000488,51059461202
W1M1_13000506,51059450701
W1M1_13000510,51059461802
W1M1_13000532,51059460900
W1M1_13000533,51059460501
W1M1_13000544,51059440800
W1M1_13000545,51059492202
W1M1_13000549,51059482303
W1M1_13000559,51059491302
W1M1_13000562,51059491501
W1M1_13000580,51059470100
W1M1_13000582,51059481500
W1M1_13000587,51059470900
W1M1_13000597,51059416000
W1M1_13000598,51059440702
W1M1_13000606,51610500300
W1M1_13000608,51059450701
W1M1_13000612,51059450200
W1M1_13000616,51059471000
W1M1_13000622,51059480202
W1M1_13000626,51059470500
W1M1_13000641,51059491801
W1M1_13000663,51059440501
W1M1_13000669,51059452101
W1M1_13000670,51600300100
W1M1_13000689,51059482203
W1M1_13000696,51059480203
W1M1_13000703,51059440701
W1M1_13000711,51059482202
W1M1_13000713,51059430201
W1M1_13000720,51059432402
W1M1_13000724,51059481106
W1M1_13000728,51059491000
W1M1_13000731,51059421400
W1M1_13000732,51059450200
W1M1_13000733,51059431300
W1M1_13000736,51600300300
W1M1_13000751,51059491502
W1M1_13000753,51600300500
W1M1_13000767,51059482502
W1M1_13000771,51059481106
W1M1_13000775,51059482002
